Team_1,Team_2,Team_1_Score,Team_2_Score
Hofstra,Northeastern,72,53
Loyola Maryland,Army West Point,70,76
Nebraska,Michigan,72,93
Winthrop,UNC Asheville,79,86
Creighton,Seton Hall,75,62
Monmouth,Stony Brook,61,54
Charleston So.,USC Upstate,60,77
American,Boston U.,54,60
Vermont,Maine,74,65
Valparaiso,Indiana St.,62,84
NJIT,UMBC,63,72
IUPUI,Wright St.,71,103
La Salle,St. Bonaventure,76,70
Central Conn. St.,Hartford,82,73
Belmont,Missouri St.,59,61
High Point,Campbell,66,82
Binghamton,New Hampshire,66,64
Drexel,Delaware,58,54
Elon,N.C. A&T,61,66
Massachusetts,Fordham,67,77
Boston College,Virginia Tech,82,76
George Mason,Duquesne,52,75
Lehigh,Colgate,53,81
Notre Dame,Georgia Tech,68,70
Memphis,South Fla.,99,81
The Citadel,Chattanooga,63,82
Bryant,UAlbany,87,62
Presbyterian,Longwood,46,66
Samford,Mercer,70,69
Tennessee,Vanderbilt,65,66
Richmond,George Washington,105,107
Western Caro.,Wofford,95,91
Bucknell,Navy,65,71
Syracuse,Florida St.,76,67
Hampton,Towson,72,86
Furman,VMI,94,63
UNCW,Col. of Charleston,61,93
Iowa St.,West Virginia,71,76
Temple,SMU,71,72
Tulsa,Houston,42,80
Texas Tech,Oklahoma St.,68,71
UCF,Wichita St.,72,67
California Baptist,Utah Valley,55,71
UNI,Evansville,59,71
Bradley,Illinois St.,79,61
Georgetown,Providence,62,74
UIC,Southern Ill.,66,68
DePaul,Villanova,65,81
Wisconsin,Penn St.,79,74
LSU,Mississippi St.,53,64
Oklahoma,Baylor,72,82
Florida,Alabama,69,97
New Mexico St.,Grand Canyon,67,78
Saint Joseph's,Loyola Chicago,83,71
Utah Tech,Seattle U,71,75
San Diego St.,Utah St.,63,61
UNLV,Wyoming,69,59
