Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
1,Tennessee,SEC,18-3,+29.73,114.0,84.3,66.9,-.011,+5.14,106.8,101.6,+3.06
2,Houston,Amer,20-2,+29.24,118.6,89.3,63.0,+.016,+2.83,106.6,103.8,+0.38
3,UCLA,P12,17-4,+26.32,115.7,89.4,65.7,-.020,+7.95,108.9,100.9,+1.28
4,Purdue,B10,21-1,+26.23,119.5,93.3,63.8,+.032,+6.85,107.7,100.9,+1.27
5,Alabama,SEC,18-3,+25.16,115.5,90.4,73.7,+.083,+10.48,109.6,99.1,+9.25
6,Connecticut,BE,16-6,+24.60,117.5,92.9,67.5,-.082,+7.28,107.7,100.4,-0.45
7,Saint Mary's,WCC,19-4,+23.71,113.1,89.4,61.9,-.041,+4.03,107.7,103.6,+3.87
8,Marquette,BE,17-5,+23.09,121.9,98.8,68.8,-.077,+7.88,108.7,100.8,-0.57
9,Kansas,B12,17-4,+22.62,115.6,93.0,68.4,+.086,+11.90,110.3,98.4,+7.47
10,Texas,B12,18-4,+22.10,117.8,95.7,69.0,+.060,+7.72,108.2,100.4,-1.17
11,Creighton,BE,13-8,+21.82,116.0,94.2,68.2,-.133,+9.20,109.4,100.2,+5.31
12,Arizona,P12,19-3,+21.48,117.1,95.7,72.4,+.086,+7.63,107.4,99.8,+3.83
13,Virginia,ACC,17-3,+20.92,115.7,94.8,61.7,+.049,+5.88,108.0,102.2,+1.94
14,Baylor,B12,16-6,+20.36,119.8,99.5,67.1,+.036,+10.56,110.2,99.7,+1.73
15,TCU,B12,16-5,+20.34,112.7,92.3,70.0,-.020,+4.84,106.8,102.0,-6.48
16,Gonzaga,WCC,18-4,+19.64,119.4,99.8,70.3,+.069,+7.07,109.5,102.5,+9.26
17,Rutgers,B10,14-7,+19.55,107.3,87.8,65.8,-.079,+6.09,109.0,102.9,-6.96
18,Indiana,B10,15-6,+19.47,116.2,96.7,68.6,-.006,+6.14,108.0,101.9,-4.23
19,Iowa St.,B12,15-6,+19.24,111.0,91.8,64.3,+.018,+9.41,110.6,101.2,-0.43
20,Arkansas,SEC,15-7,+18.89,111.0,92.1,69.4,-.054,+6.71,108.2,101.5,+2.75
21,West Virginia,B12,13-8,+18.87,115.5,96.6,68.2,-.089,+9.48,109.6,100.1,+2.09
22,Illinois,B10,16-6,+18.70,111.4,92.7,69.4,-.002,+5.71,106.6,100.9,-5.00
23,San Diego St.,MWC,17-4,+18.53,113.9,95.4,67.2,+.033,+6.89,108.4,101.5,+7.08
24,Xavier,BE,17-5,+18.48,119.1,100.7,71.7,+.032,+9.61,110.0,100.3,+4.53
25,Kansas St.,B12,18-3,+18.37,113.7,95.3,68.9,+.093,+6.29,106.5,100.2,-1.75
26,Boise St.,MWC,17-5,+18.25,109.5,91.3,67.0,-.038,+4.24,107.2,102.9,+1.01
27,Ohio St.,B10,11-10,+18.09,118.1,100.0,66.6,-.167,+8.59,108.4,99.8,-2.23
28,Providence,BE,17-5,+17.78,115.7,97.9,67.2,+.007,+4.30,106.9,102.6,-7.51
29,Auburn,SEC,16-5,+17.77,111.2,93.4,67.8,+.012,+6.27,107.0,100.7,+4.11
30,Duke,ACC,16-6,+17.65,113.6,96.0,65.5,+.030,+6.23,108.6,102.3,+3.50
31,North Carolina,ACC,15-6,+17.26,115.1,97.9,68.8,-.029,+6.94,108.5,101.6,+7.34
32,Maryland,B10,14-7,+16.65,112.6,96.0,65.5,+.006,+6.76,108.1,101.3,-3.05
33,Oklahoma St.,B12,12-9,+16.58,107.3,90.7,67.1,-.085,+8.91,109.0,100.1,+1.28
34,Kentucky,SEC,14-7,+16.38,114.8,98.4,65.6,-.017,+4.32,107.3,103.0,-0.94
35,Iowa,B10,13-8,+16.21,118.9,102.7,70.2,-.055,+8.19,107.5,99.3,-1.25
36,Memphis,Amer,17-5,+15.92,113.1,97.2,71.8,-.071,+5.01,106.7,101.7,+5.76
37,Miami FL,ACC,17-5,+15.88,118.0,102.1,68.1,+.002,+4.65,106.7,102.0,-1.08
38,Florida Atlantic,CUSA,21-1,+15.69,113.1,97.4,67.8,+.087,-1.03,103.9,104.9,-3.48
39,Oklahoma,B12,12-9,+15.67,113.3,97.6,64.1,-.045,+10.33,108.1,97.8,+3.90
40,Penn St.,B10,14-7,+15.44,115.1,99.6,64.9,-.023,+5.81,107.4,101.6,-3.67
